id	tweet	candidato	marcador	classe
twe977318071722442752	@jangodurango "Se eu soubesse que tu queria não tinha gastado tanto dinheiro com camisinha e pílula do dia seguinte… https://t.co/F38lsyFVc2	lula	alysson	Não sei
twe978104151359008769	Retweeted Florisvaldo Raimundo (@Florisrs):  Só Lula é capaz disso https://t.co/qCRzIRYc2A https://t.co/livye1CuMy	lula	alysson	Não sei
twe984802485360582656	Ao invés dos petistas estarem buscando livrar Lula da cadeia, deveriam estar protestando pela decisão da PGR de remeter o caso de Alckmin para o TSE, ao invés da justiça comum, o que na prática o livra. A mesma decisão livrará Haddad. Em busca da impunidade, ladrões se unem.	alckmin	alysson	Rejeição
twe977572021361168389	@CshmKnCaioHen @Peaotrabalhador @MiguelAMSA61 @manudeputada O problema, Caio, é q a complexidade da realidade nos i… https://t.co/ns1uFYBmkg	manuela	alysson	Neutro
twe977558211447443457	A pergunta é séria, @manudeputada: quer me pagar logo o que ficou devendo no processo que a senhora moveu contra mim e perdeu, ou devo me dar ao trabalho de pedir cumprimento de sentença? Qualquer coisa, manda um DM ?	manuela	alysson	Rejeição
twe977347407011897345	DISPARADO!!! 90%... https://t.co/f5G9063duC	bolsonaro	alysson	Neutro
twe984494027956543488	O que acontece agora que o inquérito de Alckmin vai para a 1ª instância? https://t.co/W6n9FLV2hx via @buzzfeed	alckmin	alysson	Neutro
twe981677295676084224	- "aécio é flagrado pedindo grana a empresário"  - lalalala - "assessor de temer é pego com mala de dinheiro" - lalalala - "alckmin usou cunhado para receber 10 milhões" - lalalala - "lula pode ser beneficiado com habeas corpus" - vou pra rua AGORA, não tenho bandido de estimação	temer	alysson	Rejeição
twe978200570740822017	Se a bunda de algum ministro sentar sobre o processo do Lula e pedir "vista", a Lava Jato estará em xeque!  Às ruas em 03/04!	lula	alysson	Rejeição
twe982682347484180482	Hoje, não há lado certo ou lado errado. Lula é figura histórica importante. Só que governou com as figuras + arcaicas da política brasileira: Temer, Sarney, Renan... Lula quer mas não é o nosso Mandela. É um criminoso que vai cumprir sua pena. Que venham os próximos. Democracia!	temer	alysson	Neutro
twe984980191066849280	Decisões do STF e do STJ de encaminhar processos de caixa 2 para a Justiça Eleitoral pode enfraquecer Lava-Jato. Além de Geraldo Alckmin já foram encaminhadas investigações de pelo menos oito políticos. https://t.co/QZg3xR730G (@OGloboPolitica)	alckmin	alysson	Neutro
twe983555366133944320	PARA OS QUE AINDA NÃO SABEM! A pré-candidata à Presidência da República, Marina Silva, abre a hipótese de EBM ser seu Vice. Isso mesmo, ser seu Vice-Presidente da República. O mesmo ocorreu c/ Patrícia Amorim em 2010. O banana?que a criticou segue mesmo caminho. Vejam abaixo.? https://t.co/V7GTtFMMjf	marina	alysson	Neutro
twe982063664000847879	@geodrade @silva_marina Ok. Então quer dizer o STF só condena PT? Pelo visto então já julgaram Gleisi Hoffman, Lind… https://t.co/2PjxKczlEo	marina	alysson	Neutro
twe977588404731961344	Ciro Gomes confirmado no Fórum da Liberdade, e Bolsonaro convidado. Esse debate vai ser muito divertido.	ciro	alysson	Aprovação
twe977544167080505344	@FaalaFiote @manudeputada @PCdoB_Oficial É orgânico?	manuela	alysson	Neutro
twe982192053986648066	@silva_marina Fica calada criatura!	marina	alysson	Rejeição
twe977861275270053888	@cirogomes @Collor @LucianoHuck @RodrigoMaia https://t.co/1nZTswYDJt	ciro	alysson	Neutro
twe977608525882036225	@manudeputada para de ser tao maravilhosa af!! vc quer o mundo? eu te dou	manuela	alysson	Aprovação
twe980994626566967296	Muitos coxinhas,Globotomizados e saudosistas dos anos de chumbo sempre dizem que Brasil viraria uma Cuba com a esquerda no Poder. Considerem que,c/o neolib de Temer/MDB/PSDB,Brasil está virando um RJ: Quebrado, sem receita e sob milicianos e corre o risco de intervenção militar.	temer	alysson	Rejeição
twe984257447060701185	A desculpa era o foro privilegiado. Perde o foro, STJ alivia a barra. Vão dizer o que agora? A verdade é que  os tucanos seguem impunes, de blindagem e morosidade da Justiça Alckmin entende bem. É só ver as inúmeras denúncias contra o seu governo que não deram em nada.	alckmin	alysson	Rejeição
twe977967803994079233	A pergunta é séria, @manudeputada: quer me pagar logo o que ficou devendo no processo que a senhora moveu contra mim e perdeu, ou devo me dar ao trabalho de pedir cumprimento de sentença? Qualquer coisa, manda um DM ?	manuela	alysson	Rejeição
twe977948076739612672	#OndeNascemOsFortes Patricia Pillar comenta feminismo, assédio, eleições e Ciro Gomes https://t.co/HNClqlPkVt	ciro	alysson	Rejeição
twe977930772475674624	“O @cirogomes nunca foi machista”  https://t.co/MXcX53Mwof	ciro	alysson	Não sei
